Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
45;21101175794;"Journal of Road Engineering";journal;"20970498, 27730077";"KeAi Publishing Communications Ltd.";Yes;Yes;2,072;Q1;18;27;49;2793;512;49;10,27;103,44;30,77;0;12;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2021-2024";"Building and Construction (Q1); Civil and Structural Engineering (Q1)";"Engineering"
46;21100467423;"Journal of Educational Evaluation for Health Professions";journal;"19755937";"Korea Health Personnel Licensing Examination Institute";Yes;Yes;2,068;Q1;25;39;113;661;1318;101;3,88;16,95;46,26;0;8;South Korea;Asiatic Region;"Korea Health Personnel Licensing Examination Institute";"2016-2025";"Education (Q1); Health Professions (miscellaneous) (Q1)";"Health Professions; Social Sciences"
47;21100857408;"Algebraic Geometry";journal;"23131691, 22142584";"THE EMS PUBLISHING HOUSE";Yes;Yes;2,063;Q1;22;25;70;967;103;70;1,46;38,68;23,40;0;0;Germany;Western Europe;"THE EMS PUBLISHING HOUSE";"2014-2025";"Algebra and Number Theory (Q1); Geometry and Topology (Q1)";"Mathematics"
48;21101048278;"Advanced Industrial and Engineering Polymer Research";journal;"25425048";"KeAi Communications Co.";Yes;Yes;2,033;Q1;38;34;89;3748;1312;80;13,34;110,24;33,33;0;10;China;Asiatic Region;"KeAi Communications Co.";"2018-2025";"Chemical Engineering (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q1); Polymers and Plastics (Q1)";"Chemical Engineering; Engineering; Materials Science"
49;21101023423;"Journal of Obesity and Metabolic Syndrome";journal;"25086235, 25087576";"Korean Society for the Study of Obesity";Yes;Yes;1,997;Q1;33;36;150;1686;894;125;6,36;46,83;42,77;0;28;South Korea;Asiatic Region;"Korean Society for the Study of Obesity";"2017-2025";"Endocrinology, Diabetes and Metabolism (Q1)";"Medicine"
50;21101158600;"Journal of Metaverse";journal;"27920232";"Izmir Academy Association";Yes;Yes;1,955;Q1;17;16;35;869;571;35;11,23;54,31;44,12;0;2;Turkey;Middle East;"Izmir Academy Association";"2021-2024";"Artificial Intelligence (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
51;21101186925;"Mathematical Statistics and Learning";journal;"25202324, 25202316";"European Mathematical Society Publishing House";Yes;Yes;1,953;Q1;9;5;16;248;39;16;1,82;49,60;14,29;0;0;Germany;Western Europe;"European Mathematical Society Publishing House";"2018-2024";"Computational Theory and Mathematics (Q1); Signal Processing (Q1); Statistics and Probability (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
52;21101021579;"Advances in Combinatorics";journal;"25175599";"Alliance of Diamond OA Journals";Yes;Yes;1,944;Q1;9;6;24;201;40;24;1,80;33,50;16,67;0;0;United Kingdom;Western Europe;"Alliance of Diamond OA Journals";"2019-2025";"Discrete Mathematics and Combinatorics (Q1)";"Mathematics"
53;21100939600;"Underground Space (new)";journal;"20962754, 24679674";"KeAi Communications Co.";Yes;Yes;1,943;Q1;40;110;238;5605;2143;237;9,02;50,95;26,34;0;9;China;Asiatic Region;"KeAi Communications Co.";"2016-2025";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences; Engineering"
54;18405;"Educational Technology and Society";journal;"11763647, 14364522";"International Forum of Educational Technology and Society,National Taiwan Normal University";Yes;Yes;1,924;Q1;117;87;160;5276;1661;156;9,13;60,64;48,36;0;30;Taiwan;Asiatic Region;"International Forum of Educational Technology and Society,National Taiwan Normal University";"1998-2025";"Education (Q1); E-learning (Q1); Engineering (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Engineering; Social Sciences"
55;21100794681;"Studies in Second Language Learning and Teaching";journal;"20835205, 20841965";"Adam Mickiewicz University";Yes;Yes;1,915;Q1;33;26;84;1557;506;74;6,10;59,88;50,00;0;2;Poland;Eastern Europe;"Adam Mickiewicz University";"2016-2024";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
56;21101269466;"Polyoxometalates";journal;"29579821, 29579503";"Tsinghua University Press";Yes;Yes;1,908;Q1;16;25;37;1647;405;36;10,95;65,88;42,02;0;9;China;Asiatic Region;"Tsinghua University Press";"2022-2025";"Chemistry (miscellaneous) (Q1); Inorganic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry"
57;21101021926;"Knee Surgery and Related Research";journal;"22340726, 22342451";"BioMed Central Ltd";Yes;Yes;1,891;Q1;43;47;119;1663;529;118;4,55;35,38;21,12;0;3;United Kingdom;Western Europe;"BioMed Central Ltd";"2012-2025";"Orthopedics and Sports Medicine (Q1); Surgery (Q1)";"Medicine"
58;20228;"Emerging Infectious Diseases";journal;"10806040, 10806059";"Centers for Disease Control and Prevention (CDC)";Yes;Yes;1,879;Q1;277;511;1593;10737;7253;1525;4,58;21,01;47,96;26;261;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1995-2025";"Epidemiology (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1)";"Medicine"
59;21101158576;"Harvard Kennedy School Misinformation Review";journal;"27661652";"Harvard Kennedy School";Yes;Yes;1,858;Q1;32;38;72;1301;465;62;5,53;34,24;34,09;1;8;United States;Northern America;"Harvard Kennedy School";"2020-2024";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
60;21101049047;"Transactions of the Association for Computational Linguistics";journal;"2307387X";"MIT Press Journals";Yes;Yes;1,824;Q1;67;73;275;4598;4705;275;15,05;62,99;31,72;1;2;United States;Northern America;"MIT Press Journals";"2019-2024";"Artificial Intelligence (Q1); Communication (Q1); Computer Science Applications (Q1); Human-Computer Interaction (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
61;20913;"Bulletin of the World Health Organization";journal;"15640604, 00429686";"World Health Organization";Yes;Yes;1,790;Q1;201;171;455;3593;1646;246;3,16;21,01;52,11;0;97;Switzerland;Western Europe;"World Health Organization";"1945, 1949-2025";"Public Health, Environmental and Occupational Health (Q1)";"Medicine"
62;4000148311;"Preventing Chronic Disease";journal;"21665435, 15451151";"Centers for Disease Control and Prevention (CDC)";Yes;Yes;1,770;Q1;102;102;300;2536;1189;294;3,37;24,86;67,77;1;72;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2004-2025";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
63;19900191610;"Bayesian Analysis";journal;"19316690, 19360975";"Carnegie Mellon University";Yes;Yes;1,768;Q1;69;44;134;2315;621;134;2,07;52,61;22,05;0;4;United States;Northern America;"Carnegie Mellon University";"2006-2025";"Applied Mathematics (Q1); Statistics and Probability (Q1)";"Mathematics"
64;21100901769;"General Psychiatry";journal;"2517729X, 20965923";"BMJ Publishing Group";Yes;Yes;1,766;Q1;48;74;185;2607;1033;151;5,80;35,23;39,39;0;15;United Kingdom;Western Europe;"BMJ Publishing Group";"2018-2025";"Neurology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
65;21101055725;"Energy and Built Environment";journal;"26661233";"KeAi Communications Co.";Yes;Yes;1,706;Q1;34;139;141;8384;1436;141;10,68;60,32;31,95;2;92;China;Asiatic Region;"KeAi Communications Co.";"2020-2025";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Transportation (Q1)";"Energy; Engineering; Social Sciences"
66;21100874341;"Geochemical Perspectives Letters";journal;"2410339X, 24103403";"European Association of Geochemistry";Yes;Yes;1,691;Q1;43;54;118;1499;460;116;3,46;27,76;27,82;0;6;France;Western Europe;"European Association of Geochemistry";"2015-2025";"Environmental Chemistry (Q1); Geochemistry and Petrology (Q1); Geology (Q1)";"Earth and Planetary Sciences; Environmental Science"
67;21100886215;"RSF";journal;"23778253, 23778261";"Russell Sage Foundation";Yes;Yes;1,679;Q1;39;42;142;3381;542;142;3,63;80,50;54,69;0;26;United States;Northern America;"Russell Sage Foundation";"2015-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
68;19700176802;"Journal of Physiotherapy";journal;"18369553, 18369561";"Australian Physiotherapy Association";Yes;Yes;1,668;Q1;95;92;270;1880;787;92;2,70;20,43;56,25;0;18;Australia;Pacific Region;"Australian Physiotherapy Association";"2010-2025";"Physical Therapy, Sports Therapy and Rehabilitation (Q1)";"Health Professions"
69;21100466461;"Friction";journal;"22237704, 22237690";"Springer International Publishing AG";Yes;Yes;1,665;Q1;60;172;393;9568;3394;389;8,77;55,63;28,90;1;17;China;Asiatic Region;"Springer International Publishing AG";"2013-2024";"Mechanical Engineering (Q1); Surfaces, Coatings and Films (Q1)";"Engineering; Materials Science"
70;25787;"Commentarii Mathematici Helvetici";journal;"00102571, 14208946";"European Mathematical Society Publishing House";Yes;Yes;1,661;Q1;47;15;57;555;75;57;1,50;37,00;23,53;0;0;Germany;Western Europe;"European Mathematical Society Publishing House";"1929-1937, 1939-1956, 1958-2024";"Mathematics (miscellaneous) (Q1)";"Mathematics"
71;17300154720;"Petroleum Exploration and Development";journal;"20964803, 18763804";"KeAi Communications Co.";Yes;Yes;1,661;Q1;88;118;357;4942;3092;357;7,71;41,88;28,57;0;34;China;Asiatic Region;"KeAi Communications Co.";"2008-2025";"Economic Geology (Q1); Energy Engineering and Power Technology (Q1); Geochemistry and Petrology (Q1); Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences; Energy"
